gen,island,rle_novelty,diversity,temp,seed
0,"(0, 0)",0.5045,0.056071383075504744,0.5,1234
0,"(0, 2)",0.5085,0.06085022596506934,0.5,1234
0,"(0, 4)",0.488,0.06191930232165089,0.5,1234
0,"(1, 1)",0.501,0.04264973622427225,0.5,1234
0,"(1, 3)",0.4885,0.043871972830042655,0.5,1234
0,"(2, 0)",0.49750000000000005,0.052287665849605494,0.5,1234
0,"(2, 2)",0.496,0.056841885964489254,0.5,1234
0,"(2, 4)",0.4965,0.04770744176750626,0.5,1234
0,"(3, 1)",0.49799999999999994,0.057043842787806644,0.5,1234
0,"(3, 3)",0.4995,0.03861346915261566,0.5,1234
1,"(0, 0)",0.538,0.046741309352648655,0.5,1234
1,"(0, 2)",0.503,0.04304358256465185,0.5,1234
1,"(0, 4)",0.5175000000000001,0.043298383341644535,0.5,1234
1,"(1, 1)",0.514,0.03263050719801948,0.5,1234
1,"(1, 3)",0.48100000000000004,0.04200892762258994,0.5,1234
1,"(2, 0)",0.4965,0.044877611344633764,0.5,1234
1,"(2, 2)",0.48950000000000005,0.036506848672543626,0.5,1234
1,"(2, 4)",0.4925,0.033357907608241866,0.5,1234
1,"(3, 1)",0.49749999999999994,0.035563323804166574,0.5,1234
1,"(3, 3)",0.5185,0.041940433951021545,0.5,1234
2,"(0, 0)",0.5209999999999999,0.029647934160747198,0.5,1234
2,"(0, 2)",0.48949999999999994,0.03383415434143434,0.5,1234
2,"(0, 4)",0.4995,0.042763886633466794,0.5,1234
2,"(1, 1)",0.504,0.04341370751271999,0.5,1234
2,"(1, 3)",0.48549999999999993,0.04243819034784589,0.5,1234
2,"(2, 0)",0.47400000000000003,0.06588626564011653,0.5,1234
2,"(2, 2)",0.5035000000000001,0.04381780460041329,0.5,1234
2,"(2, 4)",0.4925,0.035623026261113765,0.5,1234
2,"(3, 1)",0.49350000000000005,0.03542245050811703,0.5,1234
2,"(3, 3)",0.5279999999999999,0.03793415347678131,0.5,1234
3,"(0, 0)",0.5205,0.042825226210727714,0.5,1234
3,"(0, 2)",0.508,0.03634556369077249,0.5,1234
3,"(0, 4)",0.49850000000000005,0.03184336665618132,0.5,1234
3,"(1, 1)",0.538,0.03315116890850156,0.5,1234
3,"(1, 3)",0.5020000000000001,0.04938370176485355,0.5,1234
3,"(2, 0)",0.4960000000000001,0.03335790760824187,0.5,1234
3,"(2, 2)",0.4885,0.035954832776693604,0.5,1234
3,"(2, 4)",0.519,0.03789459064299284,0.5,1234
3,"(3, 1)",0.5015,0.040447496832313384,0.5,1234
3,"(3, 3)",0.5245000000000001,0.04760252094164761,0.5,1234
4,"(0, 0)",0.5145000000000001,0.042222624267091696,0.5,1234
4,"(0, 2)",0.49450000000000005,0.025975950415721087,0.5,1234
4,"(0, 4)",0.4925,0.04121589499210227,0.5,1234
